epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.5094,1.10835,2.43694,1.55886,0.45606,0.6,0.47143,0.26179,1.04933,2.73408,1.81385,0.00012,0.00012,0.08812
2,14.5646,1.08179,1.9774,1.54365,1,0.38354,0.64307,0.39673,1.28198,2.316,2.16899,0.000247525,0.000247525,0.0752475
3,21.0883,1.00672,1.4519,1.50624,0.58242,0.8,0.81083,0.48654,1.17127,2.05529,2.08412,0.000372476,0.000372476,0.0623725
4,27.7666,0.90932,1.18195,1.42609,0.79263,0.8,0.73442,0.38416,1.43229,1.23073,2.56592,0.000494853,0.000494853,0.0494949
5,34.1679,0.90216,0.96848,1.42144,0.89075,0.9,0.92167,0.58692,0.97481,1.07998,1.79803,0.000614656,0.000614656,0.0366147
6,40.9329,0.8043,0.81996,1.2862,1,0.99085,0.995,0.6611,1.03132,0.91167,1.70506,0.000731885,0.000731885,0.0237319
7,47.4439,0.81015,0.72348,1.28183,0.98935,0.9,0.97833,0.65177,1.04575,0.93757,1.61123,0.00084654,0.00084654,0.0108465
8,53.4966,0.72293,0.76465,1.23569,0.97375,1,0.995,0.73995,0.8965,0.6512,1.41847,0.0009307,0.0009307,0.0009307
9,59.2922,0.68858,0.60783,1.21032,0.84441,0.9,0.96833,0.73061,0.77433,0.58587,1.28297,0.0009208,0.0009208,0.0009208
10,65.0208,0.63424,0.53458,1.1721,0.99464,1,0.995,0.74753,0.92055,0.39624,1.51038,0.0009109,0.0009109,0.0009109
11,71.0991,0.61388,0.51596,1.13711,0.99258,1,0.995,0.73593,0.9784,0.43363,1.56265,0.000901,0.000901,0.000901
12,77.8381,0.59346,0.4418,1.14409,1,0.98761,0.995,0.64272,1.17511,0.63195,1.81719,0.0008911,0.0008911,0.0008911
13,83.8384,0.56557,0.42652,1.10628,0.99536,1,0.995,0.80128,0.80565,0.35968,1.39945,0.0008812,0.0008812,0.0008812
14,89.6402,0.5857,0.42156,1.10926,0.81896,1,0.945,0.63813,1.0514,0.67916,1.65789,0.0008713,0.0008713,0.0008713
15,95.3999,0.56571,0.40358,1.11462,0.99386,1,0.995,0.70094,0.99071,0.50039,1.58737,0.0008614,0.0008614,0.0008614
16,101.189,0.52524,0.41399,1.07935,1,0.99146,0.995,0.81054,0.73777,0.45355,1.27833,0.0008515,0.0008515,0.0008515
17,107.004,0.51425,0.35802,1.04781,0.99446,1,0.995,0.7362,0.87092,0.35558,1.5863,0.0008416,0.0008416,0.0008416
18,112.725,0.5983,0.53466,1.12405,0.99295,1,0.995,0.71142,1.01142,0.41082,1.76367,0.0008317,0.0008317,0.0008317
19,118.422,0.51712,0.36092,1.07707,0.99431,1,0.995,0.7405,0.93407,0.42816,1.55143,0.0008218,0.0008218,0.0008218
20,124.198,0.52468,0.51679,1.08758,0.99441,1,0.995,0.79315,0.81426,0.44742,1.42287,0.0008119,0.0008119,0.0008119
21,129.952,0.47432,0.33087,1.0442,0.90057,1,0.98591,0.78186,0.97172,0.53122,1.5613,0.000802,0.000802,0.000802
22,135.781,0.47541,0.43808,1.0731,0.99313,1,0.995,0.77091,0.72983,0.40356,1.2571,0.0007921,0.0007921,0.0007921
23,141.617,0.43353,0.32238,1.01462,0.99502,1,0.995,0.76309,0.93514,0.38594,1.61203,0.0007822,0.0007822,0.0007822
24,147.453,0.69492,0.63812,1.39306,0.99426,1,0.995,0.75645,0.88563,0.3413,1.57559,0.0007723,0.0007723,0.0007723
25,153.221,0.48361,0.47515,1.10475,0.66527,1,0.8823,0.60582,1.16696,1.12476,1.71117,0.0007624,0.0007624,0.0007624
26,158.944,0.54033,0.35359,1.16056,0.9918,1,0.995,0.73447,1.02835,0.42863,1.58296,0.0007525,0.0007525,0.0007525
